Date,"Imp Vol","1D IV Chg","IV Rank","IV Pctl","P/C Vol","Options Vol","P/C OI","Total OI",Last,"Call Volume","Put Volume","Call OI","Put OI"
2025-02-14,66.35%,+1.21%,3.10%,7%,0.27918505702482,362278,0.31177815125033,867168,27,283210,79068,661063,206105
2025-02-13,65.14%,+2.32%,2.71%,6%,0.23329902213073,95852,0.31052278355048,849435,26.34,77720,18132,648165,201270
2025-02-12,62.82%,-2.57%,1.95%,4%,0.20661331320554,108705,0.31519367050058,833479,25.99,90091,18614,633731,199748
2025-02-11,65.39%,-5.52%,2.79%,6%,0.29862664516465,149781,0.30953116552097,813816,26.56,115338,34443,621456,192360
2025-02-10,70.92%,+11.14%,4.59%,15%,0.15760773819012,275976,0.33856201657178,723893,27.12,238402,37574,540799,183094
2025-02-07,59.78%,-0.96%,0.96%,2%,0.18206064620722,135619,0.30242407415645,849075,24.73,114731,20888,651919,197156
2025-02-06,60.74%,-2.73%,1.27%,2%,0.20685299676154,127078,0.31084922487255,819442,24.8,105297,21781,625123,194319
2025-02-05,63.47%,+0.06%,2.16%,4%,0.20571045319536,125840,0.31430553107223,797769,24.93,104370,21470,606989,190780
2025-02-04,63.41%,+0.68%,2.14%,4%,0.17645169165928,91555,0.32555017180309,775024,25.9,77823,13732,584681,190343
2025-02-03,62.74%,+0.53%,1.92%,3%,0.26189793695383,154079,0.32176900284673,727577,25.89,122101,31978,550457,177120
2025-01-31,62.21%,-3.08%,1.84%,4%,0.25134562061654,214816,0.29083014889386,870501,26.9,171668,43148,674373,196128
2025-01-30,65.29%,-4.14%,2.84%,4%,0.14722616789798,144570,0.29605298142034,853053,27.99,126017,18553,658193,194860
2025-01-29,69.43%,+0.91%,4.19%,11%,0.1835983152881,107350,0.29631827779236,834361,27.51,90698,16652,643639,190722
2025-01-28,68.52%,-1.84%,3.89%,9%,0.15667254293103,129257,0.30493776034689,803535,27.46,111749,17508,615765,187770
2025-01-27,70.36%,+3.34%,4.49%,12%,0.19704692464172,157116,0.31015698148081,754222,26.97,131253,25863,575673,178549
2025-01-24,67.02%,-3.61%,3.41%,7%,0.25287195292799,187803,0.28421645863631,863633,27.77,149898,37905,672498,191135
2025-01-23,70.63%,+2.25%,4.58%,14%,0.12388295686455,322714,0.30392465037999,796445,28.33,287142,35572,610806,185639
2025-01-22,68.39%,-2.13%,3.85%,10%,0.17064843963373,162877,0.31688023468094,755963,27.65,139134,23743,574056,181907
2025-01-21,70.52%,-10.50%,4.54%,14%,0.19418698401487,179220,0.32971574548741,695932,27.47,150077,29143,523369,172563
2025-01-17,81.02%,+2.28%,7.96%,35%,0.2372700007572,375822,0.31302875634007,1312237,27.51,303751,72071,999397,312840
2025-01-16,78.74%,-4.94%,7.22%,32%,0.2273660725604,145233,0.31780503244999,1280241,27.72,118329,26904,971495,308746
2025-01-15,83.68%,-8.12%,8.83%,40%,0.18158375894053,212613,0.31447538022554,1250258,27.96,179939,32674,951146,299112
2025-01-14,91.79%,-12.24%,11.47%,43%,0.198928051755,343590,0.31197554706677,1203117,27.88,286581,57009,917027,286090
2025-01-13,104.03%,-4.62%,15.45%,54%,0.19911498562514,181016,0.31284991453765,1159811,31.02,150958,30058,883430,276381
2025-01-10,108.65%,-5.47%,17.37%,61%,0.15315861233146,296868,0.30913682162289,1254085,32.31,257439,39429,957948,296137
2025-01-08,114.13%,+4.53%,19.14%,66%,0.12002441000605,218407,0.30751262182644,1228076,32.96,195002,23405,939246,288830
2025-01-07,109.60%,+1.75%,17.67%,63%,0.1740772590906,240289,0.3098112450247,1174809,33.37,204662,35627,896930,277879
2025-01-06,107.85%,+8.98%,17.11%,62%,0.15217991932364,291914,0.31987353915399,1093799,32.82,253358,38556,828715,265084
2025-01-03,98.87%,-1.77%,14.20%,52%,0.16729038456127,290395,0.3254442830632,1169914,31.65,248777,41618,882658,287256
